year,exam,section,model,language,total,correct,accuracy
2018,112,A,chatgpt,ja,75,36,0.48
2018,112,A,gpt3,ja,75,28,0.37333333333333335
2018,112,A,gpt4,ja,75,56,0.7466666666666667
2018,112,A,student-majority,ja,75,70,0.9333333333333333
2018,112,A,chatgpt-en,en,75,40,0.5333333333333333
2018,112,B,chatgpt,ja,49,31,0.6326530612244898
2018,112,B,gpt3,ja,49,29,0.5918367346938775
2018,112,B,gpt4,ja,49,43,0.8775510204081632
2018,112,B,student-majority,ja,49,49,1.0
2018,112,B,chatgpt-en,en,49,28,0.5714285714285714
2018,112,C,chatgpt,ja,66,35,0.5303030303030303
2018,112,C,gpt3,ja,66,30,0.45454545454545453
2018,112,C,gpt4,ja,66,48,0.7272727272727273
2018,112,C,student-majority,ja,66,60,0.9090909090909091
2018,112,C,chatgpt-en,en,66,34,0.5151515151515151
2018,112,D,chatgpt,ja,75,33,0.44
2018,112,D,gpt3,ja,75,20,0.26666666666666666
2018,112,D,gpt4,ja,75,57,0.76
2018,112,D,student-majority,ja,75,68,0.9066666666666666
2018,112,D,chatgpt-en,en,75,44,0.5866666666666667
2018,112,E,chatgpt,ja,51,34,0.6666666666666666
2018,112,E,gpt3,ja,51,28,0.5490196078431373
2018,112,E,gpt4,ja,51,38,0.7450980392156863
2018,112,E,student-majority,ja,51,49,0.9607843137254902
2018,112,E,chatgpt-en,en,51,35,0.6862745098039216
2018,112,F,chatgpt,ja,84,39,0.4642857142857143
2018,112,F,gpt3,ja,84,26,0.30952380952380953
2018,112,F,gpt4,ja,84,60,0.7142857142857143
2018,112,F,student-majority,ja,84,78,0.9285714285714286
2018,112,F,chatgpt-en,en,84,40,0.47619047619047616
2019,113,A,chatgpt,ja,75,41,0.5466666666666666
2019,113,A,gpt3,ja,75,32,0.4266666666666667
2019,113,A,gpt4,ja,75,49,0.6533333333333333
2019,113,A,student-majority,ja,75,68,0.9066666666666666
2019,113,A,chatgpt-en,en,75,41,0.5466666666666666
2019,113,B,chatgpt,ja,49,20,0.40816326530612246
2019,113,B,gpt3,ja,49,23,0.46938775510204084
2019,113,B,gpt4,ja,49,39,0.7959183673469388
2019,113,B,student-majority,ja,49,48,0.9795918367346939
2019,113,B,chatgpt-en,en,49,24,0.4897959183673469
2019,113,C,chatgpt,ja,66,30,0.45454545454545453
2019,113,C,gpt3,ja,66,27,0.4090909090909091
2019,113,C,gpt4,ja,66,47,0.7121212121212122
2019,113,C,student-majority,ja,66,60,0.9090909090909091
2019,113,C,chatgpt-en,en,66,32,0.48484848484848486
2019,113,D,chatgpt,ja,75,35,0.4666666666666667
2019,113,D,gpt3,ja,75,30,0.4
2019,113,D,gpt4,ja,75,59,0.7866666666666666
2019,113,D,student-majority,ja,75,71,0.9466666666666667
2019,113,D,chatgpt-en,en,75,41,0.5466666666666666
2019,113,E,chatgpt,ja,51,34,0.6666666666666666
2019,113,E,gpt3,ja,51,24,0.47058823529411764
2019,113,E,gpt4,ja,51,47,0.9215686274509803
2019,113,E,student-majority,ja,51,50,0.9803921568627451
2019,113,E,chatgpt-en,en,51,37,0.7254901960784313
2019,113,F,chatgpt,ja,84,45,0.5357142857142857
2019,113,F,gpt3,ja,84,30,0.35714285714285715
2019,113,F,gpt4,ja,84,63,0.75
2019,113,F,student-majority,ja,84,75,0.8928571428571429
2019,113,F,chatgpt-en,en,84,44,0.5238095238095238
2020,114,A,chatgpt,ja,75,38,0.5066666666666667
2020,114,A,gpt3,ja,75,29,0.38666666666666666
2020,114,A,gpt4,ja,75,61,0.8133333333333334
2020,114,A,student-majority,ja,75,67,0.8933333333333333
2020,114,A,chatgpt-en,en,75,41,0.5466666666666666
2020,114,B,chatgpt,ja,50,31,0.62
2020,114,B,gpt3,ja,50,22,0.44
2020,114,B,gpt4,ja,50,45,0.9
2020,114,B,student-majority,ja,50,50,1.0
2020,114,B,chatgpt-en,en,50,36,0.72
2020,114,C,chatgpt,ja,75,36,0.48
2020,114,C,gpt3,ja,75,28,0.37333333333333335
2020,114,C,gpt4,ja,75,46,0.6133333333333333
2020,114,C,student-majority,ja,75,70,0.9333333333333333
2020,114,C,chatgpt-en,en,75,28,0.37333333333333335
2020,114,D,chatgpt,ja,75,37,0.49333333333333335
2020,114,D,gpt3,ja,75,23,0.30666666666666664
2020,114,D,gpt4,ja,75,58,0.7733333333333333
2020,114,D,student-majority,ja,75,69,0.92
2020,114,D,chatgpt-en,en,75,43,0.5733333333333334
2020,114,E,chatgpt,ja,50,33,0.66
2020,114,E,gpt3,ja,50,27,0.54
2020,114,E,gpt4,ja,50,41,0.82
2020,114,E,student-majority,ja,50,47,0.94
2020,114,E,chatgpt-en,en,50,24,0.48
2020,114,F,chatgpt,ja,75,37,0.49333333333333335
2020,114,F,gpt3,ja,75,31,0.41333333333333333
2020,114,F,gpt4,ja,75,55,0.7333333333333333
2020,114,F,student-majority,ja,75,70,0.9333333333333333
2020,114,F,chatgpt-en,en,75,35,0.4666666666666667
2021,115,A,chatgpt,ja,75,42,0.56
2021,115,A,gpt3,ja,75,27,0.36
2021,115,A,gpt4,ja,75,62,0.8266666666666667
2021,115,A,student-majority,ja,75,69,0.92
2021,115,A,chatgpt-en,en,75,47,0.6266666666666667
2021,115,B,chatgpt,ja,50,31,0.62
2021,115,B,gpt3,ja,50,23,0.46
2021,115,B,gpt4,ja,50,40,0.8
2021,115,B,student-majority,ja,50,50,1.0
2021,115,B,chatgpt-en,en,50,32,0.64
2021,115,C,chatgpt,ja,75,36,0.48
2021,115,C,gpt3,ja,75,28,0.37333333333333335
2021,115,C,gpt4,ja,75,46,0.6133333333333333
2021,115,C,student-majority,ja,75,68,0.9066666666666666
2021,115,C,chatgpt-en,en,75,36,0.48
